index,name,gender,label
8149,andrzej szalas,m,3
8150,cassio souza dos santos,m,0
8151,xiubo geng,none,4
8152,richard m. schwartz,none,0
8153,jean meunier,none,0
8154,thomas e. slowe,none,0
8155,parag sarda,m,0
8156,arun krishnan,m,0
8157,christian richard,none,1
8158,mike brayshaw,none,3
8159,dennis de champeaux,m,3
8160,james w. cooper,m,0
8161,peter fox,none,0
8162,andrew jennings,none,0
8163,mema roussopoulos,f,0
8164,sumit k. sanghai,m,0
8165,hiroshi shimodaira,m,0
8166,elizabeth allen,none,0
8167,gavan duffy,m,3
8168,mudhakar srivatsa,none,0
8169,r. j. douglass,none,0
8170,yohei murakami,m,0
8171,nikolai buzikashvili,m,0
8172,noah mendelsohn,m,0
8173,yohei seki,m,4
8174,liping jing,none,4
8175,martin braschler,m,0
8176,david j. crandall,none,0
8177,kenneth moorman,m,0
8178,thierry barsalou,m,1
8179,igor yanovsky,m,0
8180,john thangarajah,none,0
8181,laura e. brown,f,0
8182,wolfgang johannsen,m,0
8183,simon hawkins,none,0
8184,ashit talukder,m,0
8185,virginia teller,f,0
8186,lothar richter,m,0
8187,michael d. gordon,m,0
8188,johannes meinecke,m,0
8189,alessandro bozzon,m,0
8190,efrat manisterski,f,0
8191,ramanathan balachandran,m,0
8192,eugene wu 0002,none,1
8193,sandra d'aguanno,none,0
8194,jeff l. stimpson,m,0
8195,jos¨¦ mar¨ªa g¨®mez hidalgo,none,4
8196,abhay mehta,m,0
8197,keya li,none,0
8198,nicholas lester,m,0
8199,rob bell,m,1
8200,yupeng fu,none,0
8201,karen l. kwast,f,0
8202,luiz homem de mello,m,3
8203,sebastien rougeaux,m,0
8204,anand bhaskar,m,0
8205,airi salminen,f,0
8206,claudio s. pinhanez,m,0
8207,kazuhiro seki,m,0
8208,albert bifet,m,2
8209,weiyun huang,none,0
8210,paolo torroni,m,0
8211,volkert brosda,none,1
8212,christian bizer,m,0
8213,mark d. dunlop,none,0
8214,yueguo chen,none,0
8215,lun-wei ku,none,0
8216,stephen c. north,none,2
8217,arnold l. rosenberg,m,4
8218,ke deng,none,0
8219,dayou liu,none,0
8220,yasuyuki matsushita,m,0
8221,yi lu,none,0
8222,david newman,none,0
8223,yongge wang,none,0
8224,sebastian ryszard kruk,m,0
8225,richard power,none,0
8226,jeen broekstra,m,0
8227,shruti kasetty,f,0
8228,wenye li,none,0
8229,ruggero g. pensa,m,2
8230,v¨¦ronique hoste,none,0
8231,ickjai lee,none,0
8232,caroline ravise,f,0
8233,philip o'brien,m,0
8234,suk kyoon lee,none,0
8235,marcos kawazoe aguilera,m,0
8236,john j. grefenstette,none,0
8237,jos¨¦ del r. mill¨¢n,none,3
8238,jean-fran?ois baget,none,0
8239,mike spreitzer,none,0
8240,kriengkrai porkaew,m,2
8241,hayit greenspan,none,0
8242,ben e. cline,none,0
8243,carol a. broverman,none,0
8244,yariv matia,m,0
8245,saara hyv?nen,none,2
8246,thomas l. griffiths,none,0
8247,gregory shakhnarovich,m,0
8248,tze-yun leong,f,0
8249,anne condon,f,0
8250,ivan titov,m,0
8251,steffen rendle,m,2
8252,fenglin liao,none,0
8253,julie porteous,f,0
8254,andrew t. smith,none,0
8255,joshua gluckman,m,0
8256,alex dekhtyar,none,0
8257,jacqueline castaing,f,3
8258,giuseppe lo bello,m,0
8259,shila ofek-koifman,none,0
8260,bin li,none,0
8261,olivier buisson,m,0
8262,hidekazu nakawatase,none,4
8263,jovan pehcevski,m,4
8264,robert villa,none,0
8265,brian v. funt,none,0
8266,jie shao,none,0
8267,mark a. sheldon,none,4
8268,eric b. baum,none,3
8269,tarik hadzic,m,0
8270,cyril terrioux,m,0
8271,bruce d'ambrosio,m,0
8272,lawrence d. jackel,m,2
8273,sergio g¨®mez-villamor,none,0
8274,kostas tsioutsiouliklis,m,0
8275,irwin sobel,m,3
8276,valery soloviev,f,1
8277,j?rg r. j. schirra,none,0
8278,rohit j. kate,m,0
8279,mara abel,f,0
8280,charles f. schmidt,m,3
8281,cristian-augustin saita,m,0
8282,huaigu wu,none,0
8283,mary shapcott,none,0
8284,michael a. kelly,m,0
8285,roberto santana,m,0
8286,george r. kiss,none,0
8287,wang kay ngai,none,0
8288,kate larson,f,0
8289,yutaka sasaki,m,0
8290,david dyer,none,0
8291,jian yu,none,0
8292,apurva kumar,f,0
8293,michael merritt,m,0
8294,paul bohunsky,none,0
8295,yoram kornatzky,m,1
8296,shaymsunder gopale,none,1
8297,jan peter patist,m,0
8298,masahiko haruno,m,0
8299,michal tvarozek,m,0
8300,chengfei liu,none,0
8301,amitabh chaudhary,m,0
8302,john o'donovan,none,0
8303,thomas h. martin,none,0
8304,simon sheu,none,2
8305,sang wook lee,none,0
8306,giulio sandini,m,0
8307,dedre gentner,none,3
8308,yuli gao,none,0
8309,werner stephan,m,3
8310,sebastian rudolph,m,0
8311,victor b. zordan,m,2
8312,albrecht schmidt,none,0
8313,ray shea,m,0
8314,zdenek zdr¨¢hal,none,0
8315,xue-wen chen,none,3
8316,takashi miyata,m,3
8317,david taniar,none,0
8318,yusuf tambag,m,0
8319,susan fox,none,3
8320,leana golubchik,f,0
8321,nell b. dale,none,1
8322,chad williams,m,0
8323,roberto navigli,m,0
8324,emmanuel guere,m,0
8325,luc dehaspe,m,0
8326,v. w. setzer,none,0
8327,david littau,none,0
8328,raymond kosala,m,0
8329,danilo fum,m,0
8330,gerald fritz,m,0
8331,b. l. hills,m,3
8332,kenji yoshihira,m,0
8333,ronald c. unrau,m,1
8334,kono kim,none,4
8335,walter g. wilson,m,0
8336,benjamin d. smith,none,0
8337,lorrie faith cranor,f,0
8338,van-duc nguyen,m,0
8339,tomoyuki nanno,m,0
8340,pietro pala,m,0
8341,xi li,none,0
8342,david s. doermann,none,0
8343,jang ho park,none,0
8344,piotr dollar,none,0
8345,clayton t. morrison,m,0
8346,daniel p. dabney,none,4
8347,charuta nakhe,none,0
8348,birger larsen,m,4
8349,bj?rn blohsfeld,none,0
8350,benyang tang,none,0
8351,hsin-chang yang,none,0
8352,bistra n. dilkina,f,3
8353,takayuki tamura,m,0
8354,takahiko ito,m,0
8355,william j. long,none,3
8356,paolo garza,m,2
8357,yongdong wang,none,0
8358,steven berson,m,1
8359,chuang wang,none,0
8360,christoph benzm¨¹ller,none,3
8361,liva ralaivola,f,0
8362,sherif sakr,m,1
8363,wim martens,m,0
8364,peter bodorik,m,1
8365,c¨¦dric du mouza,none,0
8366,cindy xinmin chen,none,0
8367,kamran karimi,m,0
8368,esma a?meur,none,0
8369,hitoshi iida,m,0
8370,kazunori yamaguchi,m,0
8371,todd d. millstein,m,0
8372,yuefei sui,none,0
8373,hao wang,none,0
8374,necip fazil ayan,none,0
8375,david s. johnson,none,0
8376,heinrich niemann,m,0
8377,cheng-chung cheng,none,0
8378,pedro pereira rodrigues,m,0
8379,jennifer l. beckmann,f,0
8380,thomas o'donnell,none,0
8381,mykel j. kochenderfer,m,0
8382,ullrich hustadt,m,0
8383,duygu ucar,f,2
8384,euripides g. m. petrakis,m,0
8385,roxana geambasu,f,0
8386,owen cooper,m,0
8387,marius leordeanu,m,0
8388,hiroshi arisawa,m,0
8389,taek-soo kim,none,0
8390,nabil hachem,m,0
8391,david gadbois,none,0
8392,dongmei zhang,none,0
8393,c. k. tan,none,0
8394,aameek singh,none,0
8395,luke s. zettlemoyer,none,0
8396,pooyan fazli,m,3
8397,nancy e. hall,none,0
8398,edmond lau,m,1
8399,c. bullwinkle,none,0
8400,zhongyang zhang,none,0
8401,bruce leban,m,0
8402,mark d. johnston,none,0
8403,alan j. kent,none,0
8404,tomas hrycej,m,0
8405,megan thomas,none,0
8406,pavel avgustinov,m,1
8407,pierre br¨¦zellec,none,0
8408,xinyu guo,none,0
8409,han liu,none,0
8410,timothy roscoe,m,0
8411,thomas kaczmarek,none,0
8412,lee a. appelbaum,none,4
8413,sathiamoorthy subbarayan,none,3
8414,john guiver,none,0
8415,kazuko kuriyama,f,4
8416,philip l. worthington,m,0
8417,hannes werthner,m,0
8418,diane l. davison,f,0
8419,pavel ircing,m,0
8420,adrian baras,m,0
8421,jeffrey p. lankford,m,0
8422,wolfgang h¨¹rst,none,0
8423,fred hemery,m,0
8424,james c. spohrer,m,0
8425,chunyan miao,none,0
8426,bernie j. lofaso,m,0
8427,andrei a. krokhin,m,3
8428,renato zaccaria,m,0
8429,razvan c. bunescu,m,0
8430,stan szpakowicz,m,0
8431,robert j. yan,none,3
8432,antonio cau,m,0
8433,moonjung cho,none,0
8434,yongmei wang,none,0
8435,carsten lund,m,0
8436,harry e. stephanou,m,0
8437,artur s. d'avila garcez,m,3
8438,haruo kimoto,none,0
8439,l¨¢szl¨® b?sz?rm¨¦nyi,none,0
8440,nadeem ahmed syed,m,0
8441,wanli zuo,none,0
8442,alexandre d'aspremont,m,0
8443,martin lauer,m,0
8444,shiguang shan,none,0
8445,gerard lyons,m,0
8446,wen qiang wang,none,0
8447,runa bhaumik,none,0
8448,dapeng wu,none,0
8449,martin herman,m,3
8450,hsuan-tien lin,none,0
8451,sebastian jekutsch,m,0
8452,yutaka kanayama,m,3
8453,mario paolucci,m,0
8454,kate lockwood,f,0
8455,ya zhang,none,0
8456,swaminathan sivasubramanian,m,0
8457,hermann ney,m,0
8458,rita sharma,f,0
8459,luca becchetti,m,2
8460,martin riedmiller,none,0
8461,roland zito-wolf,m,0
8462,shipra agrawal,f,0
8463,zhi zhou,none,0
8464,thomas j. graser,none,0
8465,byeong man kim,none,0
8466,osamu watanabe,m,0
8467,elias koutsoupias,m,0
8468,mary s. lee,none,0
8469,michael t. cox,m,3
8470,tariq samad,m,0
8471,rex bing hung kwok,m,0
8472,nick hawes,m,0
8473,vassilis stoumpos,m,1
8474,dong wang,none,0
8475,yufeng kou,none,0
8476,michael chau,m,0
8477,tucker r. balch,m,0
8478,min xie,none,0
8479,vojkan mihajlovic,m,0
8480,philippos mordohai,m,0
8481,varun kacholia,m,1
8482,martin atzm¨¹ller,none,0
8483,purushottam kulkarni,m,0
8484,christopher j. merz,m,0
8485,peter r. wurman,m,3
8486,greg ridgeway,m,2
8487,xiaoping sun,none,0
8488,anagha kulkarni,f,0
8489,peter z. yeh,m,0
8490,ian mackinnon,none,4
8491,m. s. ali,none,0
8492,jong-hak lee,none,0
8493,wenbin zhu,none,0
8494,bradley j. clement,m,3
8495,fazel famili,m,2
8496,max henrion,m,0
8497,pinar keskinocak,f,0
8498,ahmed ayad,m,0
8499,thanh tran,f,0
8500,vladimir s. cherniavsky,m,0
8501,rajiv chopra,m,0
8502,fan jiang,none,0
8503,robert sim,none,3
8504,jian chih ou,none,0
8505,brian t. bartell,none,4
8506,sharon c. salveter,f,0
8507,joel d. martin,m,3
8508,yu meng,none,0
8509,sameer mahajan,m,0
8510,germ¨¢n cobo,none,0
8511,bon k. sy,m,3
8512,jianmin wang,none,0
8513,james wogulis,m,0
8514,tadashi horiuchi,m,0
8515,marc r. c. van dongen,m,0
8516,bernhard hengst,m,0
8517,hui zhao,none,0
8518,michael c. dyer,m,0
8519,richard j. wood,none,3
8520,hujun bao,none,0
8521,michael k. buckland,m,0
8522,sumio watanabe,m,0
8523,gaudenz danuser,none,0
8524,flavia moser,f,2
8525,pasi fr?nti,none,2
8526,andrew hazen schlaikjer,none,0
8527,mark s. ackerman,none,0
8528,rui wang,none,0
8529,nuno miguel marques,m,0
8530,ali a. ghorbani,none,0
8531,loretta auvil,f,0
8532,william m. campbell,m,0
8533,m. seetha lakshmi,none,1
8534,antonio turtur,m,0
8535,peter fr?hlich,none,0
8536,raz lin,none,0
8537,dibyendu nandy,m,0
8538,ah chung tsoi,none,0
8539,j. david schaffer,none,3
8540,ming-chuan hung,none,2
8541,ander de keijzer,m,1
8542,juichi miyamichi,none,0
8543,glenn s. iwerks,none,0
8544,tanya y. berger-wolf,f,0
8545,feng jiao,none,0
8546,in¨ºs lynce,none,3
8547,kenneth y. goldberg,m,0
8548,eugenia ternovska,f,0
8549,david handelman,none,0
8550,john mccarthy,none,0
8551,jonathan gough,m,0
8552,nicholas gibbins,m,0
8553,filippo cacace,m,0
8554,vassia pavlaki,f,0
8555,peixiang zhao,none,0
8556,yingjiu li,none,0
8557,sunil mishra,m,0
8558,gary valentin,none,0
8559,salim roukos,m,4
8560,yimin wang,none,0
8561,nasser yazdani,m,0
8562,john catozzi,none,0
8563,amar mukherjee,m,4
8564,matjaz kukar,m,0
8565,binling jin,none,0
8566,alan kwan,none,0
8567,j. wesley graham,none,0
8568,zhi-pei liang,none,0
8569,victor j. rayward-smith,m,0
8570,donna m. nystrom,f,0
8571,said elnaffar,m,0
8572,sylvian r. ray,m,3
8573,chris mesterharm,m,0
8574,qiang ye,none,0
8575,kheng guan goh,none,0
8576,hongbo xie,none,0
8577,v. i. rybak,none,3
8578,richard m. keller,none,0
8579,yasushi kiyoki,m,0
8580,r¨®n¨¢n p¨¢irc¨¦ir,none,2
8581,kris malfettone,m,0
8582,andrew nuxoll,none,0
8583,arkadiusz wojna,m,2
8584,james a. landay,m,0
8585,trey smith,m,0
8586,geert-jan m. kruijff,m,0
8587,ping sun,none,2
8588,shrikanth shankar,m,0
8589,moumen t. ahmed,f,0
8590,adam vogel,m,0
8591,john m. rosenberg,none,0
8592,olivier y. de vel,m,2
8593,truxton fulton,none,0
8594,ke-thia yao,none,0
8595,sarah cohen boulakia,none,1
8596,sarah a. douglas,none,0
8597,amr ahmed,m,0
8598,souptik datta,none,0
8599,yoram biberman,m,0
8600,john m. hollerbach,none,3
8601,kalev kask,m,3
8602,naoto takahashi,m,0
8603,steven shapiro,m,0
8604,a. lynn abbott,m,0
8605,abraham kandel,m,0
8606,hans chalupsky,m,0
8607,lawrence cayton,m,0
8608,ralf bierig,m,4
8609,andreas broschart,m,4
8610,william b. gevarter,m,0
8611,marcelo h. ang jr.,m,0
8612,shinji fujiwara,m,2
8613,huw roberts,m,0
8614,jae-wook ahn,none,0
8615,horst biller,m,0
8616,fr¨¦d¨¦ric saubion,none,0
8617,anne boyer,f,0
8618,zhiqian wang,none,0
8619,marcello frixione,m,0
8620,s. sundararajan,none,0
8621,philip zigoris,m,4
8622,j¨¦r?me darmont,none,0
8623,shao fen liang,none,0
8624,tanu malik,f,0
8625,yasuhiro katagiri,m,0
8626,riadh ben messaoud,m,0
8627,sven casteleyn,m,0
8628,hanuma kodavalla,none,0
8629,arding hsu,none,1
8630,boleslaw k. szymanski,m,0
8631,charles w. kaufman,m,1
8632,gong chen,none,0
8633,ang¨¨le m. hamel,none,3
8634,william s. yerazunis,m,0
8635,christopher g. chute,m,4
8636,saydean zeldin,none,0
8637,r. d. fenneli,m,0
8638,t. d. alter,f,0
8639,dao-i lin,none,0
8640,shaohua kevin zhou,none,0
8641,wanli min,none,0
8642,shinsei tazawa,none,1
8643,linfeng zhang,none,1
8644,xubo b. song,none,0
8645,jie bao,none,3
8646,yonatan wexler,m,0
8647,amitabha das,none,0
8648,shiqiang yang,none,0
8649,a. khivesera,m,0
8650,kerry rodden,f,4
8651,aria haghighi,m,0
8652,anand rangarajan,m,0
8653,nigel collier,m,0
8654,can a. baykan,none,0
8655,mildred l. g. shaw,f,0
8656,xilin yi,none,0
8657,ikkyu choi,none,0
8658,roberto f. santos filho,m,0
8659,alexander l. wolf,none,0
8660,christina tziviskou,f,0
8661,ying-lin chen,none,0
8662,yann lepetit,m,0
8663,massimo mecella,m,0
8664,han reichgelt,none,0
8665,douglas b. terry,m,1
8666,sichun xu,none,0
8667,pheng-ann heng,none,0
8668,yangyong zhu,none,0
8669,jussi karlgren,m,0
8670,ion androutsopoulos,m,4
8671,leslie ann goldberg,f,0
8672,james c. lester,m,0
8673,jun morimoto,none,0
8674,t. v. prabhakar,f,0
8675,thomas j. laffey,none,0
8676,charles b. callaway,m,3
8677,beatriz de la iglesia,f,0
8678,madhav v. marathe,m,0
8679,tom barclay,m,1
8680,yao-wen huang,none,0
8681,surendra k. singhi,m,0
8682,mark w. schmidt,none,0
8683,deept kumar,none,2
8684,yezdi lashkari,none,0
8685,nikolaj tatti,m,0
8686,fangfang feng,none,0
8687,michael gesmann,m,0
8688,sharon j. laskowski,f,0
8689,rui leite,none,0
8690,ching kian wong,f,2
8691,amos j. storkey,m,0
8692,pedro v. sander,m,0
8693,raymond d. gumb,m,3
8694,peter nightingale,m,0
8695,dong zhuang,none,4
8696,alexander t. ihler,m,2
8697,keith houck,m,0
8698,yair liberzon,m,0
8699,e. f. kushner,none,0
8700,yukinori kakazu,m,0
8701,ralitsa angelova,f,0
8702,stephan busemann,m,3
8703,wayne d. dominick,m,0
8704,bernard silver,m,0
8705,michael a. s. potts,m,4
8706,felix frayman,m,3
8707,ji zhu,none,0
8708,ruoyun huang,none,0
8709,edmond mesrobian,m,0
8710,xiaoying gao,none,0
8711,feng liu,none,0
8712,kalpathi r. subramanian,m,0
8713,simon kamenkovich,none,1
8714,yannis labrou,m,0
8715,matt jones,m,4
8716,christopher j. matheus,m,0
8717,yukai he,none,0
8718,chaofeng sha,none,0
8719,s¨¦bastien tabary,none,0
8720,richard c. wang,none,0
8721,yew jin lim,none,0
8722,mary p. harper,none,0
8723,tomoyuki shibata,m,0
8724,mingjie zhu,none,0
8725,g¨¹nter neumann,none,0
8726,ron lavi,m,3
8727,steven m. lavalle,m,0
8728,keiji kojima,m,0
8729,hans albrecht schmid,m,0
8730,yeali s. sun,none,0
8731,huy t. vo,m,0
8732,ranabir gupta,none,1
8733,hongtao xu,none,4
8734,xiaoying wu,none,0
8735,xiao-bing xue,none,0
8736,chilukuri k. mohan,none,0
8737,rong hu,none,0
8738,michael greenwald,m,0
8739,samuel wintermute,m,3
8740,helmut seidl,m,0
8741,lei ji,none,4
8742,giuseppe santucci,m,1
8743,igor kiselev,m,3
8744,sylvia l. osborn,f,1
8745,sylvie doutre,f,0
8746,tatsuya akutsu,m,0
8747,sean bechhofer,m,0
8748,john-jules ch. meyer,f,3
8749,jody gevins underwood,f,0
8750,thomas g. marr,none,0
8751,nicolas delannay,none,0
8752,domenico beneventano,m,0
8753,jason rennie,m,0
8754,mohamed ziauddin,m,0
8755,dijun luo,none,2
8756,mohamed farid elhawary,m,2
8757,md. rafiul hassan,m,0
8758,humphrey sorensen,m,0
8759,andreas l. prodromidis,m,0
8760,nicholas gerner,m,0
8761,heidi h. t. yeung,f,0
8762,jason wolfe,none,3
8763,li liu,none,0
8764,manfred a. jeusfeld,m,0
8765,stefania marrara,f,4
8766,ravindra guravannavar,m,0
8767,nitin kumar,m,0
8768,jungsoon p. yoo,none,0
8769,j.-q. fang,none,0
8770,laura a. granka,f,0
8771,duc n. nguyen,m,0
8772,nawaaz ahmed,m,0
8773,s?ren sonnenburg,none,0
8774,n. nandhakumar,f,0
8775,engelbert mephu nguifo,m,0
8776,pedro m. q. aguiar,m,0
8777,istv¨¢n n¨¦meti,none,3
8778,yan-nei law,m,0
8779,kenrick j. mock,m,4
8780,p. sreenivasa kumar,m,0
8781,kathleen dahlgren,f,3
8782,tim churches,none,0
8783,christian plagemann,m,0
8784,pedro cruz,m,0
8785,xiaobin li,none,0
8786,nigel livingston,m,0
8787,j. alison noble,none,0
8788,peng zang,none,3
8789,a. min tjoa,m,0
8790,smitha sriram,f,0
8791,michael maslov,m,0
8792,siobhan devlin,f,4
8793,costin barbu,m,0
8794,rolfe r. schmidt,m,0
8795,bi chen,none,0
8796,steven a. harp,m,0
8797,pierre wolper,m,0
8798,zhaoqi chen,none,0
8799,wolfgang scheufele,m,0
8800,hans friedrich witschel,m,4
8801,paul komarek,none,0
8802,henrik jacobsson,m,0
8803,marc andries,m,0
8804,khurshid ahmad,f,0
8805,brian neil levine,none,0
8806,c. r. spath,m,1
8807,ashfaq a. khokhar,m,0
8808,yoram yakimovsky,m,3
8809,li-lun wang,none,0
8810,salma smaoui,f,0
8811,richard m. karp,none,0
8812,niklas lavesson,m,0
8813,gunjan gupta,f,0
8814,ewa madalinska-bugaj,f,0
8815,donald b. faatz,m,0
8816,moshe mor,m,4
8817,liadan o'callaghan,none,0
8818,andreas harth,m,0
8819,dechang chen,none,2
8820,kyle usbeck,m,0
8821,yinghui yang,none,2
8822,bryan singer,m,0
8823,murali-krishna achari,m,0
8824,craig fields,none,0
8825,ying bao,none,0
8826,rebecca hwa,none,0
8827,shuguang wang,none,0
8828,benson limketkai,m,0
8829,brian vickery,none,0
8830,j. brian burns,none,0
8831,robert mattm¨¹ller,none,0
8832,karsten winkler,m,0
8833,daniel l. chester,none,3
8834,andriy myronenko,m,0
8835,david s. vogel,none,2
8836,jing jin,none,0
8837,sumantra dutta roy,none,0
8838,karen ward,f,0
8839,masanobu yamamoto,m,0
8840,lin deng,none,0
8841,fragkiskos pentaris,none,1
8842,li yu,none,0
8843,chin-hui lee,none,0
8844,jos de bruijn,m,0
8845,olivier gruber,m,1
8846,ewa dominowska,f,0
8847,yuqing song,none,0
8848,barbara h. kwasnik,f,4
8849,peter-arno coppen,m,4
8850,k. sundar das,none,1
8851,allen l. brown jr.,none,0
8852,douglas w. bristol,m,0
8853,richard howey,none,0
8854,lisa ann smith,f,0
8855,richard jeffers,none,0
8856,jeffrey considine,m,1
8857,richard frank,none,0
8858,pankaj mehra,m,0
8859,sunil samtani,m,0
8860,finn ?rup nielsen,none,0
8861,wolfgang mahnke,m,1
8862,nicos angelopoulos,m,0
8863,rasa bliujute,f,0
8864,manolis terrovitis,m,0
8865,wolf siberski,none,0
8866,morton m. astrahan,m,1
8867,jun-yi shen,none,0
8868,william b. schwartz,m,0
8869,matthew c. jones,m,0
8870,y¨¹cel saygin,none,0
8871,dirk wodtke,m,1
8872,anand manikutty,m,0
8873,brian meckler,none,1
8874,di wu,none,0
8875,kostas stergiou,m,3
8876,israel gold,m,0
8877,mark h. chignell,none,0
8878,juan loaiza,none,0
8879,david a. torres,none,0
8880,hyunjung shin,none,0
8881,hye-chung kum,m,0
8882,jing zhou,none,0
8883,daniela grigori,f,0
8884,david r. cheriton,none,0
8885,gill bejerano,none,0
8886,brendan kitts,m,2
8887,pinar koksal,f,0
8888,arun qamra,m,0
8889,jens clau?en,none,1
8890,lei gao,none,0
8891,larry j. eshelman,m,0
8892,tak-chung fu,none,0
8893,andrew hickl,none,0
8894,tochukwu iwuchukwu,m,1
8895,norbert eisinger,m,3
8896,andrew p. black,none,0
8897,johann a. makowsky,m,0
8898,paolo terenziani,m,3
8899,nick russell,m,0
8900,jurgen van gael,m,0
8901,j¨²lia g¨®th,none,0
8902,eugene tuv,none,0
8903,markus enzenberger,m,0
8904,moussa boussouf,m,2
8905,robert tibshirani,none,2
8906,patrick kling,m,0
8907,derek partridge,m,0
8908,sylvain lagrue,m,0
8909,esteban zim¨¢nyi,none,0
8910,christian esculier,m,0
8911,kai gro?johann,none,0
8912,mehdi essid,m,0
8913,robert milne,none,3
8914,daniel j. weitzner,none,0
8915,de-sheng wang,none,4
8916,ryan mcdonald,none,4
8917,josiane zerubia,f,0
8918,hong gao,none,0
8919,joan feigenbaum,f,1
8920,xuemei shi,none,0
8921,robert j. gaizauskas,none,0
8922,guadalupe canahuate,f,0
8923,marc spielmann,m,1
8924,aaron m. tenenbaum,m,0
8925,slawomir staworko,m,0
8926,muh-chyun (morris) tang,none,0
8927,nicholas j. haddock,m,0
8928,claudia pearce,none,4
8929,kenneth b. haase,m,0
8930,ivayla vatcheva,none,0
8931,faruk polat,m,0
8932,yaqin wang,none,0
8933,daniel t. halstead,none,3
8934,natalia vanetik,f,0
8935,andries kruger,m,0
8936,ela hunt,none,0
8937,hans knutsson,m,0
8938,mark e. rorvig,none,0
8939,yoshihiko hayashi,m,0
8940,patrick a. v. hall,m,0
8941,carlos soares,m,0
8942,paul over,none,0
8943,zhiwu lu,none,0
8944,giovanni pacifici,m,0
8945,ron gershon,m,3
8946,j?rg schl?sser,none,0
8947,ronald d. bonnell,m,0
8948,val¨¦rie issarny,none,1
8949,haris georgiadis,m,1
8950,john o. everett,none,3
8951,jeffrey mark siskind,m,0
8952,halvard skogsrud,m,0
8953,wagner truppel,m,2
8954,yevgeny kazakov,m,0
8955,sharon mcdonald,f,4
8956,jian-ming xu,none,4
8957,mykola pechenizkiy,m,0
8958,soowon lee,none,0
8959,timothy j. norman,m,0
8960,yuhui jin,none,0
8961,ken sadohara,none,0
8962,philip wadler,m,0
8963,zhen wen,none,0
8964,lonnie chrisman,m,3
8965,rachel ben-eliyahu,f,0
8966,yee seng chan,none,0
8967,katherine a. heller,f,0
8968,david a. wood,none,0
8969,joshua shaffer,m,0
8970,arun k. pujari,m,3
8971,ahmet bulut,m,1
8972,jonathan wilkenfeld,m,0
8973,f. n. teskey,m,0
8974,christophe rey,m,0
8975,amin vahdat,none,0
8976,chad m. cumby,m,0
8977,andrew b. nobel,none,0
8978,jonathan stillman,m,3
8979,federico barbic,m,0
8980,david liben-nowell,none,0
8981,gustavo f. bay¨®n,none,0
8982,knot pipatsrisawat,m,3
8983,steve kirsch,m,4
8984,sacha berger,none,0
8985,tsae-feng yu,none,0
8986,yuxin peng,none,4
8987,gr¨¦goire malandain,none,0
8988,jian-wei liu,none,0
8989,chaitanya chemudugunta,m,0
8990,jean sallantin,none,3
8991,martin charles golumbic,m,0
8992,guanling lee,none,0
8993,virg¨ªlio a. f. almeida,none,0
8994,james p. davis,m,0
8995,jihun ham,none,0
8996,george c. stockman,none,0
8997,cho-jui hsieh,f,0
8998,m. lopez,none,1
8999,yves lechevallier,m,0
9000,aditya kalyanpur,m,0
9001,indrajit ray,m,0
9002,subrata ghosh,m,0
9003,jayendra venkateswaran,m,0
9004,simone paolo ponzetto,f,0
9005,rares vernica,m,0
9006,f. andersen,m,0
9007,michael s. langer,none,0
9008,james p. richardson,m,0
9009,mirette s. marzouk,m,0
9010,carolyn turbyfill,f,0
9011,jeremy tantrum,m,0
9012,raghunath othayoth,none,1
9013,silvio salza,m,0
9014,nikunj c. oza,m,0
9015,david l. wells,none,1
9016,kareem darwish,m,0
9017,yahya slimani,m,0
9018,vasilis samoladas,m,0
9019,fred j. friedman,m,0
9020,vijay boyapati,m,4
9021,yaser yacoob,m,0
9022,marcin marszalek,m,0
9023,jorge-arnulfo quian¨¦-ruiz,none,1
9024,paul w. schermerhorn,none,0
9025,sunil goyal,m,0
9026,baoying wang,none,0
9027,yingguang li,none,0
9028,subbarao ghanta,m,0
9029,marc goodman,m,0
9030,ching-hsiang tsai,f,0
9031,neal sample,m,0
9032,udo kelter,m,1
9033,peter b. musgrove,m,0
9034,shanon x. ju,none,0
9035,mahesh joshi,m,0
9036,pawel cichosz,m,0
9037,peter m. will,m,3
9038,amruta purandare,f,0
9039,anca muscholl,f,0
9040,david w. albrecht,none,0
9041,honglak lee,none,0
9042,thomas j. lee,none,0
9043,hajnal andr¨¦ka,none,3
9044,hiro narita,m,0
9045,mikko koivisto,m,0
9046,vikas krishna,m,0
9047,willis lang,none,0
9048,sabyasachi saha,m,0
9049,thomas w. page jr.,none,0
9050,chetan gupta,m,0
9051,michel page,m,0
9052,luca spampinato,m,0
9053,thomas wagner,none,0
9054,bruno m. fonseca,m,0
9055,thu d. nguyen,f,0
9056,quanzhi li,none,0
9057,james p. rogers,m,2
9058,wayne h. ward,m,0
9059,toshiyuki sakai,m,0
9060,jie liu,none,0
9061,nicol¨¢s d. rotstein,none,0
9062,mark steedman,none,0
9063,tuyen n. huynh,f,0
9064,jean-marie nicolas,none,1
9065,albert mo kim cheng,none,0
9066,michael morreau,m,0
9067,jisun park,none,0
9068,igor l. markov,m,3
9069,andy tsai,m,0
9070,martha escobar-molano,f,0
9071,yuuji hotta,none,0
9072,chi-keung tang,none,0
9073,toshio yokoi,m,0
9074,omar boussaid,m,2
9075,jinho lee,none,0
9076,david b. sher,none,3
9077,kayur patel,none,0
